method	rank	feature	importance
random_forest	1	present__fastqc_per_sequence_quality_scores_plot	0.07213
random_forest	2	num__median_sequence_length	0.04467
random_forest	3	num__avg_sequence_length	0.01555
random_forest	4	num__Sequence_length	0.01555
random_forest	5	agg__n_modules_warn	0.00539
random_forest	6	present__fastqc-status-check-heatmap	0.00000
random_forest	7	status__per_base_n_content	0.00000
random_forest	8	num__Sequences_flagged_as_poor_quality	0.00000
random_forest	9	status__basic_statistics	0.00000
random_forest	10	status__per_base_sequence_quality	0.00000
logistic_regression	1	agg__n_modules_pass	0.36631
logistic_regression	2	present__fastqc_per_sequence_quality_scores_plot	0.08703
logistic_regression	3	num__avg_sequence_length	0.08097
logistic_regression	4	num__median_sequence_length	0.08097
logistic_regression	5	num__Sequence_length	0.08097
logistic_regression	6	status__overrepresented_sequences	0.01259
logistic_regression	7	present__fastqc_adapter_content_plot	0.00258
logistic_regression	8	present__fastqc-status-check-heatmap	0.00000
logistic_regression	9	status__per_base_n_content	0.00000
logistic_regression	10	num__Sequences_flagged_as_poor_quality	0.00000
